source,target
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/kpu-masih-tunggu-keputusan-pemerintah-terkait-libur-nasional-hari-pencoblosan-pilkada-2024-232914-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/persepi-buka-bukaan-data-investigasi-hasil-survei-lsi-dan-poltracking-di-pilkada-jakarta-2024-232308-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/lepas-kaosnya-batal-dukung-pramono-rano-warga-tanah-merah-lebih-pilih-ridwan-kamil-232927-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/janji-pramono-rano-untuk-kepulauan-seribu-spbu-terapung-hingga-fasilitas-kesehatan-231465-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/poltracking-jelaskan-proses-survei-pilkada-jakarta-tegaskan-bukan-konsultan-salah-satu-kandidat-231706-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/dalam-debat-kedua-ahmad-luthfi-janji-sejahterakan-petani-dan-nelayan-jawa-tengah-232561-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/kaesang-dukung-ahmad-ali-di-pilkada-sulteng-beliau-punya-hubungan-baik-dengan-prabowo-gibran-232175-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/prabowo-terang-terangan-endorse-luthfi-yasin-andika-kami-juga-ingin-didukung-232724-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/jawab-pertanyaan-lutfi-andika-sebut-pembangunan-infrastruktur-bisa-turunkan-kemiskinan-di-jateng-232779-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/alasan-prabowo-endorse-ahmad-luthfi-taj-yasin-di-pilkada-jateng-232079-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/debat-hendi-singung-peran-tentara-dalam-kemerdekaan-hingga-kutip-bung-karno-232762-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/kasus-pengerahan-kepala-desa-dihentikan-tim-hukum-andika-hendi-bakal-gugat-bawaslu-231719-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/sekjen-pdip-kritik-kepemimpinan-rk-di-bandung-dan-jabar-tak-jauh-berubah-232302-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/soal-video-prabowo-dukung-lutfhi-yasin-menko-budi-gunawan-tamu-datang-tak-mungkin-ditolak-232329-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/pramono-siap-bantu-nelayan-pulau-lancang-yang-kesulitan-bbm-dan-modal-231651-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/di-endorse-prabowo-di-pilkada-jateng-luthfi-sebagai-ketum-parpol-beliau-dukung-kami-232712-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/dibanding-pulau-sampah-pramono-pilih-bangun-plts-di-kepulauan-seribu-231648-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/debat-kedua-pilkada-jateng-memanas-pendukung-andika-kena-tegur-232569-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/debat-kedua-andika-janjikan-koneksi-internet-untuk-seluruh-desa-di-jawa-tengah-232567-mvk.html
https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html,https://www.merdeka.com/politik/kpu-buka-suara-soal-aksi-prabowo-terang-terangan-endorse-paslon-pilkada-serentak-2024-232719-mvk.html
